student_id,name,age,city,python_marks,sql_marks,pandas_marks,attendance
1001.0,Aarav,18.0,Mysuru,85.0,82.0,88.0,92.0
1002.0,Diya,19.0,Bengaluru,92.0,89.0,94.0,96.0
1003.0,Arjun,18.0,Dharwad,76.0,74.0,79.0,88.0
1004.0,Ananya,20.0,Belagavi,,91.0,85.0,94.0
1005.0,Rohan,19.0,Mangaluru,69.0,71.0,73.0,81.0
1006.0,Ishita,18.0,Hubballi,95.0,93.0,96.0,98.0
1007.0,Vivek,21.0,Mysuru,81.0,79.0,84.0,90.0
1008.0,Sneha,19.0,,73.0,77.0,70.0,85.0
1009.0,Karan,20.0,Shivamogga,90.0,88.0,92.0,95.0
1010.0,Meera,18.0,Udupi,84.0,86.0,87.0,91.0
1011.0,Aditya,22.0,Tumakuru,78.0,81.0,80.0,87.0
1012.0,Pooja,19.0,Mysuru,91.0,,93.0,97.0
1013.0,Rahul,20.0,Bengaluru,67.0,69.0,71.0,79.0
1014.0,Kavya,18.0,Belagavi,86.0,84.0,89.0,93.0
1015.0,Nikhil,21.0,Dharwad,72.0,75.0,76.0,84.0
1016.0,Priya,19.0,Mangaluru,94.0,92.0,91.0,96.0
1017.0,Sanjay,22.0,Hubballi,80.0,78.0,82.0,
1018.0,Neha,20.0,Mysuru,75.0,73.0,78.0,86.0
1019.0,Varun,18.0,Udupi,89.0,91.0,90.0,94.0
1020.0,Aisha,21.0,Bengaluru,83.0,85.0,88.0,90.0
1021.0,Manoj,,Tumakuru,70.0,72.0,74.0,82.0
1022.0,Riya,20.0,Shivamogga,96.0,94.0,95.0,99.0
1023.0,Akash,18.0,Belagavi,87.0,88.0,85.0,92.0
1024.0,Shreya,22.0,Mangaluru,79.0,76.0,,88.0
1025.0,Yash,19.0,Mysuru,93.0,90.0,92.0,97.0
1005.0,Rohan,19.0,Mangaluru,69.0,71.0,73.0,81.0
1012.0,Pooja,19.0,Mysuru,91.0,,93.0,97.0
1019.0,Varun,18.0,Udupi,89.0,91.0,90.0,94.0
,,,,,,,
